lng,lat
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
18.5167,47.0333
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
20.6,47.4667
18.1167,46.15
18.1167,46.15
18.1167,46.15
18.1167,46.15
18.1167,46.15
18.1167,46.15
18.1167,46.15
18.1167,46.15
18.1167,46.15
18.1167,46.15
20,47.8
20,47.8
20,47.8
20,47.8
20,47.8
20,47.8
20,47.8
20,47.8
20,47.8
20,47.8
20,47.8
20,47.8
20,47.8
20,47.8
20,47.8
20,47.8
20,47.8
20,47.8
20,47.8
20,47.8
